,prod,rouge_1,rouge_2,rouge_l
0,B00006L9LC,0.0404494378059336,0.0132362672389376,0.0404494378059336
1,B0009RF9DW,0.0433537828069437,0.0147339005219287,0.0433537828069437
2,B000FI4S1E,0.0433537828069437,0.0147339005219287,0.0433537828069437
3,B000URXP6E,0.041458934256823,0.0126829266977406,0.041458934256823
4,B0012Y0ZG2,0.0745863168912386,0.026417821899094,0.0745863168912386
5,B001OHV1H4,0.0404797597233354,0.0132391878627769,0.0404797597233354
6,B00W259T7G,0.0544886104570067,0.0230309920897906,0.0544886104570067
7,B00005ML71,0.0532585839244837,0.0197518357072938,0.0532585839244837
8,B000068NTU,0.0670897545646629,0.0288808661343455,0.0670897545646629
9,B000068NW9,0.0543900538609452,0.0193704598513226,0.0543900538609452
10,B000068NW8,0.0585729493781763,0.0189728490074234,0.0585729493781763
11,B000068O35,0.0702811238198779,0.0316301699971518,0.0702811238198779
12,B000068O4F,0.0538400628173441,0.0234218792259574,0.0538400628173441
13,B0002CZVK0,0.0407523506979589,0.0153684944301559,0.0407523506979589
14,B0002CZW0Y,0.0377358486863652,0.012430939099573,0.0377358486863652
15,B0002CZSJO,0.0522920198642665,0.0152937085674653,0.0522920198642665
16,B0002CZW3G,0.0483768295724909,0.0175569356372705,0.0483768295724909
17,B0002D07A8,0.0473612985903764,0.0181100532174204,0.0473612985903764
18,B0002CZVWI,0.0522920198642665,0.0152937085674653,0.0522920198642665
19,B0002D0CH6,0.0367074523649129,0.0115364445593499,0.0367074523649129
20,B0002D0CNA,0.0742226672893303,0.029797800338105,0.0742226672893303
21,B0002D0CKI,0.0430939222302799,0.0142228241019745,0.0430939222302799
22,B0002D0CEO,0.063212053779626,0.0190689846607782,0.063212053779626
23,B0002D0E9M,0.0552995386328017,0.017944349616726,0.0552995386328017
24,B0002D0CQC,0.0528301881648985,0.018300653407025,0.0528301881648985
25,B0002D017M,0.0416444203076568,0.0145343276392842,0.0416444203076568
26,B0002D0COE,0.0556354910658362,0.0218514688435712,0.0556354910658362
27,B0002DUPZU,0.041739130026102,0.0142188960197738,0.041739130026102
28,B0002DUS8E,0.0438898446653975,0.0155940265349325,0.0438898446653975
29,B0002DV6TO,0.0397799403633925,0.0137157105845162,0.0397799403633925
30,B0002E1J3Q,0.0411331001015912,0.0125229406053671,0.0411331001015912
31,B0002E1NNC,0.0619262480384679,0.0192649576235366,0.0619262480384679
32,B0002DVBJY,0.0511000704743761,0.0192545048649467,0.0511000704743761
33,B0002E1NWI,0.0619262480384679,0.0192649576235366,0.0619262480384679
34,B0002E1G5C,0.0558976782818473,0.0159469812999124,0.0558976782818473
35,B0002E2GMY,0.0507196705132051,0.0182940771067203,0.0507196705132051
36,B0002E1O3G,0.0534351139837422,0.0174520068029075,0.0534351139837422
37,B0002E2OTE,0.0287769781336369,0.0111046170667264,0.0287769781336369
38,B0002E2KPC,0.0515505431949224,0.0170193705558141,0.0515505431949224
39,B0002E2SA4,0.0516129027229968,0.0160216394541183,0.0516129027229968
40,B0002E3CHC,0.0567685584003928,0.0193710689831573,0.0567685584003928
41,B0002E3CK4,0.0513652333465252,0.016275271557968,0.0513652333465252
42,B0002E3D44,0.0370909087268786,0.0133302150196289,0.0370909087268786
43,B0002F741Q,0.0593886457119582,0.024438573067879,0.0593886457119582
44,B0002GLCRC,0.0332272884678744,0.0104109587969276,0.0332272884678744
45,B0002GMH7G,0.0539191207933681,0.018482635077092,0.0539191207933681
46,B0002GLDQM,0.0638655456002259,0.022506393632697,0.0638655456002259
47,B0002GTZR6,0.0591999994255232,0.0227457349497842,0.0591999994255232
48,B0002GMGYA,0.0539191207933681,0.0184798805860221,0.0539191207933681
49,B0002GW3Y8,0.0501901135791351,0.0180275713962076,0.0501901135791351
50,B0002GXF8Q,0.0340206182222818,0.0112474436475698,0.0340206182222818
51,B0002GZTT4,0.0542907175103591,0.0217893692068778,0.0542907175103591
52,B0002H04NE,0.0624493100194996,0.0236220470034592,0.0624493100194996
53,B0002H03YY,0.0513652333465252,0.016275271557968,0.0513652333465252
54,B0002H0JZ2,0.0439453120702028,0.0144660330375787,0.0439453120702028
55,B0002H0A3S,0.0535818282496491,0.0187947628219798,0.0535818282496491
56,B0002H05BA,0.0513652333465252,0.016275729848497,0.0513652333465252
57,B0002GXYVO,0.0418516165845345,0.0156316010236798,0.0418516165845345
58,B0002IHFVM,0.0361010826779965,0.0139664803059429,0.0361010826779965
59,B0002II6V0,0.056512749278546,0.0194805192830649,0.056512749278546
60,B0002KZAKS,0.0488522655622564,0.0178797466504771,0.0488522655622564
61,B0002OOMW6,0.0493488686071045,0.0181488201423836,0.0493488686071045
62,B0002OOMU8,0.0440304822112175,0.0139604809589084,0.0440304822112175
63,B00063678K,0.0557103058651003,0.017774186848828,0.0557103058651003
64,B0006IQLHM,0.0394304486824726,0.0145413868802518,0.0394304486824726
65,B0006IQLF4,0.0624493100194996,0.0236220470034592,0.0624493100194996
66,B0006LOBA8,0.0513652333465252,0.016275271557968,0.0513652333465252
67,B0006NDF8A,0.0438206089517443,0.0139049824771734,0.0438206089517443
68,B0007Y09VO,0.0539596268041544,0.0187026729222244,0.0539596268041544
69,B000960KNW,0.0310146208732189,0.009781209683876,0.0310146208732189
70,B000978D58,0.052879391009997,0.0194607741819454,0.052879391009997
71,B0009G1E0K,0.0345508387522669,0.0106472400146065,0.0345508387522669
72,B000B6FADU,0.0556186146692696,0.0224024717678456,0.0556186146692696
73,B000B6FBA2,0.0463971875960007,0.0153284669957857,0.0463971875960007
74,B000CD1R7K,0.0446144036428394,0.0168977467952626,0.0446144036428394
75,B000E0PPG0,0.0552208829971744,0.0192092202292791,0.0552208829971744
76,B000EE8YPK,0.0293986634074394,0.0105334232551413,0.0293986634074394
77,B000EELFI8,0.0608622141182674,0.0235294115262905,0.0608622141182674
78,B000F3L61O,0.0427872856448505,0.014595660600729,0.0427872856448505
79,B000KGYAYQ,0.0230274295048524,0.0079548607107039,0.0230274295048524
80,B000KIRT74,0.0571658609583686,0.0205734857088487,0.0571658609583686
81,B000KW2YEI,0.0565422248945643,0.0191269124930045,0.0565422248945643
82,B000L6GD04,0.0644490638253422,0.0214239539778922,0.0644490638253422
83,B000NJ2TIE,0.0329289424837578,0.0098280097276521,0.0329289424837578
84,B000OMG0KI,0.0553679940598925,0.0177639408477869,0.0553679940598925
85,B000PO30QM,0.0444184682974161,0.0148252734109648,0.0444184682974161
86,B000RNB720,0.0731306484326566,0.0261039275225078,0.0731306484326566
87,B000V1K7FG,0.0451410653894989,0.0153846152276256,0.0451410653894989
88,B000VJJQUU,0.0840407462237692,0.0303441467274165,0.0840407462237692
89,B000VO1EA0,0.0732758613630536,0.0332136441889417,0.0732758613630536
90,B000VSM4MS,0.0672947503591167,0.0274822692281899,0.0672947503591167
91,B000W00X1Y,0.0574005734482084,0.021207177596226,0.0574005734482084
92,B000WKW8EY,0.0673267320226644,0.0301467668512759,0.0673267320226644
93,B000WN4J9S,0.0950605769137753,0.0415175371602611,0.0950605769137753
94,B000WS1QC6,0.0672451186560151,0.0305143850441582,0.0672451186560151
95,B000XI6O2W,0.0692041515810395,0.0322840997474726,0.0692041515810395
96,B000XLZGNM,0.1190476179280045,0.0591878865363092,0.1190476179280045
97,B000XPO0IU,0.0695528737076514,0.0303698258044187,0.0695528737076514
98,B000Y30NAA,0.0633484156761737,0.0269026545949621,0.0633484156761737
99,B000YID5OG,0.1107784420673473,0.0545454540026058,0.1107784420673473
100,B000Z38F4A,0.0904255310515221,0.0416531072982419,0.0904255310515221
101,B000ZMYRJS,0.0571169532076082,0.0219021899935988,0.0571169532076082
102,B0010CZ8GS,0.064572425204094,0.0253417803368267,0.064572425204094
103,B0010K6TXQ,0.0721311468456866,0.0350020346502885,0.0721311468456866
104,B0010SHU18,0.0454545450103305,0.0189402478350255,0.0454545450103305
105,B00130M446,0.1153846142973372,0.0526503018573801,0.1153846142973372
106,B0013MS0RE,0.1181434588039666,0.0504297989353519,0.1181434588039666
107,B0013V1BYY,0.121495325961656,0.0584795315822924,0.121495325961656
108,B00154OJOI,0.0907187709413588,0.0396559957890383,0.0907187709413588
109,B0015RIN6U,0.099266291676373,0.0417789753166937,0.099266291676373
110,B001677QO4,0.0443828012303762,0.0210918111935607,0.0443828012303762
111,B00169KU7C,0.0739566818023083,0.0312714773420985,0.0739566818023083
112,B0016ML1C2,0.0756634662398049,0.0296352580593305,0.0756634662398049
113,B0016ZZKJO,0.0693895469805963,0.0274953455575885,0.0693895469805963
114,B00178JDCK,0.0341151382574183,0.0126874277824768,0.0341151382574183
115,B0017H4EBG,0.0567912914501063,0.0225008033713698,0.0567912914501063
116,B00186HCX8,0.0387464383664808,0.0147923381767624,0.0387464383664808
117,B0018TIADQ,0.0378830079848915,0.0127760538975126,0.0378830079848915
118,B001BDTNBM,0.0521892962630657,0.0207197380666012,0.0521892962630657
119,B001JI2KHS,0.0494545449722287,0.0198226393395759,0.0494545449722287
120,B001PGXHXA,0.0369799688203969,0.0101156068329112,0.0369799688203969
121,B001PGXKC8,0.0432252697350279,0.0133732993784068,0.0432252697350279
122,B001W99HE8,0.0344827582818073,0.0118063753224559,0.0344827582818073
123,B0026RB0G8,0.0642434482370351,0.0211549454683408,0.0642434482370351
124,B0027V760M,0.0384615380843195,0.0131898644947419,0.0384615380843195
125,B002B55TRG,0.0525414043998681,0.0211201204700522,0.0525414043998681
126,B002EWV8IU,0.0382932162545966,0.012763021601411,0.0382932162545966
127,B002UAF1PW,0.0618484239057373,0.0204998735604196,0.0618484239057373
128,B002X8Y4SQ,0.0426867541334045,0.0142199914899881,0.0426867541334045
129,B0037M62KA,0.0463636359107479,0.0161482460317903,0.0463636359107479
130,B003B01QSG,0.0487309639915689,0.0167966405023612,0.0487309639915689
131,B004TP4IZU,0.0345177661582416,0.0142405061877228,0.0345177661582416
132,B004XNK7AI,0.0493770184385863,0.0139233161373238,0.0493770184385863
133,B004Z17008,0.0456490723071381,0.0169696967954839,0.0456490723071381
134,B0051WAJ5S,0.0413393960399626,0.0126639528321582,0.0413393960399626
135,B0055V7UR0,0.0580524338932549,0.0237351652809182,0.0580524338932549
136,B005BSOVRY,0.0433212992151598,0.0158382064657575,0.0433212992151598
137,B005CX4GLE,0.046685340347032,0.0159341387292801,0.046685340347032
138,B005FKF1PY,0.0651530102285296,0.0206157476764409,0.0651530102285296
139,B005FKF3P2,0.0518460324879098,0.0183140315934819,0.0518460324879098
140,B005MR6IHK,0.0482026139086762,0.0182477480869515,0.0482026139086762
141,B005OZE9SA,0.0377898650744177,0.011078997958279,0.0377898650744177
142,B005PGGU9O,0.0583596208845371,0.0201196300293235,0.0583596208845371
143,B005PNY6V6,0.0606653614469728,0.0211257413538873,0.0606653614469728
144,B005VLWHP4,0.0750228721049948,0.0285132380015453,0.0750228721049948
145,B00646MZHK,0.0293460922148322,0.0088256924806019,0.0293460922148322
146,B006MPUTBC,0.0430848767865327,0.0148128552927647,0.0430848767865327
147,B006WPGZAG,0.0785964904729923,0.0267999088796052,0.0785964904729923
148,B0078YFA1A,0.0459869843663223,0.0205999740411116,0.0459869843663223
149,B00923G9Q0,0.0359752666506532,0.0141342754780306,0.0359752666506532
150,B009A3JEZK,0.0386138610074551,0.0126708901675678,0.0386138610074551
151,B009ZX8ZJG,0.0537974678309265,0.0196393499180856,0.0537974678309265
152,B00A270MZO,0.0292294062664507,0.0101496420564949,0.0292294062664507
153,B00ACFAULC,0.0529706508801711,0.0221606645953775,0.0529706508801711
154,B00AZUAORE,0.0606428132385211,0.0209318026238374,0.0606428132385211
155,B00B5LDMH6,0.0447957834882941,0.0167216719970721,0.0447957834882941
156,B00B9060X6,0.0330330327081586,0.0098923867714538,0.0330330327081586
157,B00BHJNC4E,0.0508720925274747,0.018031555042948,0.0508720925274747
158,B00BKXN9LS,0.0777142849673404,0.0343612331339633,0.0777142849673404
159,B00BL6JDUA,0.0737240068513727,0.0259481035363006,0.0737240068513727
160,B00BU9KCXK,0.0573678284641493,0.0199690133951445,0.0573678284641493
161,B00DALF966,0.0563594815543435,0.0216006644167437,0.0563594815543435
162,B00DSSOVJW,0.0541310536043944,0.0243161091822876,0.0541310536043944
163,B00DY1F2CS,0.0521227401396873,0.0188501411824024,0.0521227401396873
164,B00EK1OTZC,0.0347648258342638,0.0118392355205348,0.0347648258342638
165,B00F0W9PAO,0.0380184328067661,0.013803983294244,0.0380184328067661
166,B00GRRN2RI,0.0398346482379227,0.0127165094088612,0.0398346482379227
167,B00I362NXU,0.049836065087828,0.0186503065588871,0.049836065087828
168,B00IFHCOAE,0.0483383681083597,0.0155947404395476,0.0483383681083597
169,B00IFOTSJW,0.0482171794322079,0.0152403280966551,0.0482171794322079
170,B00IOSJ72M,0.0356949699036124,0.0114349240473832,0.0356949699036124
171,B00IZCSX9U,0.0401258847366106,0.0124653738327838,0.0401258847366106
172,B00J4TBMVO,0.0568232656671511,0.0176881939784151,0.0568232656671511
173,B00JBIVXGC,0.0421686742859994,0.015031645416538,0.0421686742859994
174,B00JOP0P1G,0.0624999993945312,0.0241911095222758,0.0624999993945312
175,B00JYG7LIU,0.0638036803639128,0.0250288792254087,0.0638036803639128
176,B00KMFL70K,0.0381807969303657,0.0133450393723163,0.0381807969303657
177,B00KO8W060,0.0503978774928058,0.0188723753687027,0.0503978774928058
178,B00KVEIY4E,0.0367936921486874,0.0118965003239438,0.0367936921486874
179,B00KWIM2FG,0.0659480018987273,0.0225265015397401,0.0659480018987273
180,B00LTDON0K,0.0635208705283414,0.0240650404063063,0.0635208705283414
181,B00MO6KKSK,0.039278131249752,0.0128595599365731,0.039278131249752
182,B00N4ZHPZ6,0.046818727033769,0.017135862739197,0.046818727033769
183,B00NARHNCS,0.0679245276457102,0.0274786480693368,0.0679245276457102
184,B00NAU1N0I,0.0795671539145318,0.0276676193788516,0.0795671539145318
185,B00O4L3F9E,0.0525265952332101,0.018560230462226,0.0525265952332101
186,B00R6OT6GW,0.0507812495050811,0.0174021129351233,0.0507812495050811
187,B00U49CFUA,0.0365482229914504,0.0118583241105861,0.0365482229914504
188,B00VMB8IW8,0.06519453144081,0.0309320306196096,0.06519453144081
189,B00WHLLDWO,0.062893081144489,0.0226223451043417,0.062893081144489
190,B00XQFONF4,0.0585738534212291,0.0195297441135857,0.0585738534212291
191,B012VQ5A7S,0.0487038486999985,0.0207631872188841,0.0487038486999985
192,B0143H0W3U,0.0529801319345642,0.0186608121021365,0.0529801319345642
193,B015I0WXAQ,0.0396744655317767,0.0128627449640471,0.0396744655317767
194,B01B1JHEX4,0.0364464688904686,0.0112755460443606,0.0364464688904686
195,B01DK1Y560,0.0682046131827378,0.0325784661001258,0.0682046131827378
196,B01DZPVKFU,0.0385250408990004,0.0139194137775771,0.0385250408990004
197,B01G3JJ7B4,0.0827067661244276,0.0419008682565291,0.0827067661244276
198,193362275X,0.0549750108238345,0.0200999734880302,0.0549750108238345
199,7109036146,0.0558739249583029,0.0195804193819627,0.0558739249583029
200,7300025137,0.0631364556003791,0.0219684923338034,0.0631364556003791
201,B0000222ZN,0.0734366028496841,0.0304314326703877,0.0734366028496841
202,B00002232W,0.0601851846014446,0.0224542050095948,0.0601851846014446
203,B00002231I,0.0651629066377724,0.0238719065997877,0.0651629066377724
204,B00002232S,0.0473684205901662,0.0159955872600563,0.0473684205901662
205,B0000223YJ,0.053109712970078,0.0201342279842209,0.053109712970078
206,B00002240C,0.0993288581164452,0.0412044369872712,0.0993288581164452
207,B00002244S,0.0434192668750978,0.0157586671106518,0.0434192668750978
208,B0000224R9,0.0422098071597463,0.0135041549854015,0.0422098071597463
209,B0000223O9,0.0589022751980702,0.019220912157252,0.0589022751980702
210,B0000224VG,0.047619047154195,0.0208126856167399,0.047619047154195
211,B0000224VC,0.047619047154195,0.0208126856167399,0.047619047154195
212,B0000225E0,0.0596760437518215,0.0173871619046561,0.0596760437518215
213,B0000225EC,0.0400421492387861,0.0172272352680958,0.0400421492387861
214,B0000225OD,0.0621848733470659,0.0251019765266862,0.0621848733470659
215,B0000224UP,0.0556722683663373,0.0195567142751187,0.0556722683663373
216,B0000225OU,0.0430622005355875,0.0148533232800301,0.0430622005355875
217,B0000225P8,0.0466988723297445,0.0185185183297037,0.0466988723297445
218,B0000225WB,0.0527009217530173,0.0178770947905056,0.0527009217530173
219,B0000225XN,0.0507001443634078,0.0147259662406898,0.0507001443634078
220,B0000225W0,0.0651289003197163,0.0232367411537304,0.0651289003197163
221,B0000224B3,0.0498442362741044,0.0187667558429772,0.0498442362741044
222,B000022688,0.0490196073649557,0.0161073823861577,0.0490196073649557
223,B00002262M,0.0599820943152139,0.0185829222079175,0.0599820943152139
224,B0000225UH,0.0323846905548022,0.0106968214064732,0.0323846905548022
225,B00002N5FN,0.0507564660743745,0.0178733715224587,0.0507564660743745
226,B00002N5JF,0.0630459545736149,0.0218881271261333,0.0630459545736149
227,B00002N5HJ,0.0821256030772013,0.037209301950465,0.0821256030772013
228,B00002N5FP,0.040160642176739,0.0127056522553092,0.040160642176739
229,B00002N5VN,0.0500658756647068,0.0191142189249036,0.0500658756647068
230,B00002N6KN,0.0381179269637866,0.0152213096787687,0.0381179269637866
231,B00002N6T5,0.0377924411409145,0.0131694467472065,0.0377924411409145
232,B00002N6RV,0.0570522973855299,0.0205338806952334,0.0570522973855299
233,B00002N6JC,0.0594479824380524,0.0187089290718031,0.0594479824380524
234,B00002N9DQ,0.0373360238515713,0.0122594439238089,0.0373360238515713
235,B00002N9E1,0.0495552727060524,0.0161393075443745,0.0495552727060524
236,B00002N7S1,0.0352289880786764,0.011430385658731,0.0352289880786764
237,B00002N9ET,0.0428886782305784,0.0142077448074606,0.0422579623680745
238,B00002NAQT,0.0477770400114132,0.0159228994817459,0.0477770400114132
239,B00002NAPD,0.064728797695507,0.0234387287193482,0.064728797695507
240,B00002ND64,0.0383325343628811,0.0128334170818827,0.0383325343628811
241,B00002ND6R,0.0299102688977931,0.0108375908475016,0.0299102688977931
242,B00002NB2X,0.0619181635047722,0.0191545572665601,0.0619181635047722
243,B00002PV66,0.0435323378826096,0.013447031676908,0.0435323378826096
244,B00002ND4D,0.0790340277809574,0.0307564419249293,0.0790340277809574
245,B00002X1ZC,0.042007000755614,0.0156309567607177,0.042007000755614
246,B00002X1ZG,0.0333680914341385,0.0114686204626252,0.0333680914341385
247,B00002X20N,0.0413793099395957,0.0136008159105263,0.0413793099395957
248,B00002X2GE,0.0591101001084086,0.0193173444875147,0.0591101001084086
249,B00002X2HQ,0.0586690011818337,0.0201693225046257,0.0586690011818337
250,B00002X2GS,0.0591101001084086,0.0193173444875147,0.0591101001084086
251,B00002X204,0.0372233396749359,0.0121617511683051,0.0372233396749359
252,B0000302TI,0.0557834284979215,0.0216606495993493,0.0557834284979215
253,B0000302Z6,0.0564808104576593,0.0187725629862097,0.0564808104576593
254,B0000302Y9,0.0665961938593845,0.028130824996622,0.0665961938593845
255,B0000302Y8,0.0578980485252568,0.0191606610990767,0.0578980485252568
256,B00004R5S2,0.0589569155275836,0.0222473602552848,0.0589569155275836
257,B00004R5S0,0.0481430531752751,0.0182254194789676,0.0481430531752751
258,B00004R9LF,0.0356052895790752,0.0120073890401672,0.0356052895790752
