,prod,rouge_1,rouge_2,rouge_l
0,B00006L9LC,0.1354723695035285,0.0624058526320451,0.1354723695035285
1,B0009RF9DW,0.0740740733607681,0.0290037828114154,0.0740740733607681
2,B000FI4S1E,0.0740740733607681,0.0290037828114154,0.0740740733607681
3,B000URXP6E,0.0792792785179125,0.0295804821179,0.0792792785179125
4,B0012Y0ZG2,0.0640834569057793,0.0233155500547807,0.0640834569057793
5,B001OHV1H4,0.1355690319149415,0.0624192848000717,0.1355690319149415
6,B00W259T7G,0.0280669983651882,0.0091624909553772,0.0280669983651882
7,B00005ML71,0.1153324276784481,0.0532603279938125,0.1153324276784481
8,B000068NTU,0.1298245601895352,0.0651788870643287,0.1298245601895352
9,B000068NW9,0.1044663124088431,0.043050756943028,0.1044663124088431
10,B000068NW8,0.0990615214776373,0.037900874257511,0.0990615214776373
11,B000068O35,0.1138370941177875,0.0560672801843718,0.1138370941177875
12,B000068O4F,0.0989945852926191,0.0446453796089766,0.0989945852926191
13,B0002CZVK0,0.0974124800474459,0.0403448271842812,0.0974124800474459
14,B0002CZW0Y,0.0832016843000154,0.0328036900859076,0.0832016843000154
15,B0002CZSJO,0.042320818698375,0.0123585725456288,0.042320818698375
16,B0002CZW3G,0.0582647239435096,0.0198560434834638,0.0582647239435096
17,B0002D07A8,0.1223161992420151,0.0648379046053093,0.1223161992420151
18,B0002CZVWI,0.042320818698375,0.0123585725456288,0.042320818698375
19,B0002D0CH6,0.0646929818301364,0.0232841005484047,0.0646929818301364
20,B0002D0CNA,0.1304771165992402,0.0580419574717981,0.1304771165992402
21,B0002D0CKI,0.2011173166268219,0.0982490262972823,0.2011173166268219
22,B0002D0CEO,0.0596465384493054,0.0194447039282615,0.0596465384493054
23,B0002D0E9M,0.0873506378131815,0.0311406969699005,0.0873506378131815
24,B0002D0CQC,0.0999473951577854,0.0410272972821448,0.0999473951577854
25,B0002D017M,0.0895833324776258,0.0363086229342518,0.0895833324776258
26,B0002D0COE,0.0518981253954949,0.0195150796353743,0.0518981253954949
27,B0002DUPZU,0.1408915782170287,0.0638453113084658,0.1408915782170287
28,B0002DUS8E,0.0597524535389785,0.0257691293750059,0.0597524535389785
29,B0002DV6TO,0.1201298690007273,0.0485056340149425,0.1201298690007273
30,B0002E1J3Q,0.0776846907994053,0.0308021387300102,0.0776846907994053
31,B0002E1NNC,0.0461248818838725,0.0137461499675699,0.0461248818838725
32,B0002DVBJY,0.1619812568781776,0.0840496649020089,0.1619812568781776
33,B0002E1NWI,0.0461248818838725,0.0137461499675699,0.0461248818838725
34,B0002E1G5C,0.0558976782818473,0.0171833754303022,0.0558976782818473
35,B0002E2GMY,0.0976588619473518,0.0402532786604783,0.0976588619473518
36,B0002E1O3G,0.1263776622988132,0.0543052832197824,0.1263776622988132
37,B0002E2OTE,0.1030769220992781,0.0442401604297206,0.1030769220992781
38,B0002E2KPC,0.0491935479072613,0.0154656504080801,0.0491935479072613
39,B0002E2SA4,0.0493920967827146,0.0143690127645249,0.0493920967827146
40,B0002E3CHC,0.0982905973559975,0.0388639756978316,0.0982905973559975
41,B0002E3CK4,0.0279107946351715,0.0073554372912147,0.0279107946351715
42,B0002E3D44,0.0589715923798478,0.0257929589601105,0.0589715923798478
43,B0002F741Q,0.1786885229629266,0.0954805846935282,0.1786885229629266
44,B0002GLCRC,0.0290471127141017,0.0078639355434988,0.0290471127141017
45,B0002GMH7G,0.0901518854693482,0.0360466830499971,0.0901518854693482
46,B0002GLDQM,0.1449275348876286,0.0702163054727085,0.1449275348876286
47,B0002GTZR6,0.1076443047537243,0.0412868628561565,0.1076443047537243
48,B0002GMGYA,0.0901518854693482,0.036041358576872,0.0901518854693482
49,B0002GW3Y8,0.1271000718557904,0.0576623370925538,0.1271000718557904
50,B0002GXF8Q,0.0550739413308209,0.0233739835055214,0.0550739413308209
51,B0002GZTT4,0.1847914946433478,0.0886762351855925,0.1847914946433478
52,B0002H04NE,0.0880352132440331,0.0345080760144452,0.0880352132440331
53,B0002H03YY,0.0279107946351715,0.0073554372912147,0.0279107946351715
54,B0002H0JZ2,0.0777351240129392,0.0278951814635357,0.0777351240129392
55,B0002H0A3S,0.0337321040025514,0.0102639295148419,0.0337321040025514
56,B0002H05BA,0.0279107946351715,0.0073556453834797,0.0279107946351715
57,B0002GXYVO,0.1090018360790028,0.0437226728935403,0.1090018360790028
58,B0002IHFVM,0.0686390525916039,0.0272800829537962,0.0686390525916039
59,B0002II6V0,0.1099195700067922,0.0457561194252126,0.1099195700067922
60,B0002KZAKS,0.0579964844983645,0.0207049152353041,0.0579964844983645
61,B0002KZE7C,0.130260519824318,0.0680272102131428,0.130260519824318
62,B0002OOMW6,0.0912139494983403,0.0386083048877139,0.0912139494983403
63,B0002OOMU8,0.1050041007278118,0.041507835252332,0.1050041007278118
64,B00063678K,0.0597637242291163,0.0207766008998728,0.0597637242291163
65,B0006IQLHM,0.1207349070020184,0.0590271446197849,0.1207349070020184
66,B0006IQLF4,0.0880352132440331,0.0345080760144452,0.0880352132440331
67,B0006LOBA8,0.0279107946351715,0.0073554372912147,0.0279107946351715
68,B0006NDF8A,0.0676361170333568,0.0241241682760806,0.0676361170333568
69,B0007Y09VO,0.0337321040025514,0.0102639295148419,0.0337321040025514
70,B000960KNW,0.056843025245714,0.0199692778310784,0.056843025245714
71,B000978D58,0.0889046933183253,0.0336117537161602,0.0889046933183253
72,B0009G1E0K,0.0585080442882032,0.0200808811287767,0.0585080442882032
73,B000B6FADU,0.1082274975958382,0.0491522189836897,0.1082274975958382
74,B000B6FBA2,0.0906904835038514,0.0345201514736419,0.0906904835038514
75,B000CD1R7K,0.1495778031999255,0.0772784536802394,0.1495778031999255
76,B000E0PPG0,0.0755091895367049,0.0302499598964091,0.0755091895367049
77,B000EE8YPK,0.0731707310023795,0.0270523634642917,0.0731707310023795
78,B000EELFI8,0.1647999984877952,0.0757486780624689,0.1647999984877952
79,B000F3L61O,0.0837821655647202,0.0332096109180645,0.0837821655647202
80,B000KGYAYQ,0.0700826439518306,0.0265689415574525,0.0700826439518306
81,B000KIRT74,0.0688275303478158,0.028940965262373,0.0688275303478158
82,B000KW2YEI,0.1025822416805104,0.048120633740695,0.1025822416805104
83,B000L6GD04,0.0556909148780204,0.0197836736490307,0.0556909148780204
84,B000NJ2TIE,0.0556745176600378,0.0200668894284107,0.0556745176600378
85,B000OMG0KI,0.0553679940598925,0.0184930877926783,0.0553679940598925
86,B000PO30QM,0.1020986944366924,0.0393865454419826,0.1020986944366924
87,B000RNB720,0.1088709667124902,0.0435360982536265,0.1088709667124902
88,B000V1K7FG,0.078866296223336,0.033957335312987,0.078866296223336
89,B000VJJQUU,0.0651801022853931,0.0240128726382303,0.0651801022853931
90,B000VO1EA0,0.1019108270582985,0.0498442362656513,0.1019108270582985
91,B000VSM4MS,0.1891551054752413,0.1019407113341184,0.1891551054752413
92,B000W00X1Y,0.0825576681684374,0.0353671702737252,0.0825576681684374
93,B000WKW8EY,0.1248799219799923,0.0646669257328755,0.1248799219799923
94,B000WN4J9S,0.0986046502253585,0.0422182464424422,0.0986046502253585
95,B000WS1QC6,0.1202531634267345,0.0517241374108353,0.1202531634267345
96,B000XI6O2W,0.1614497513988639,0.084772369646178,0.1614497513988639
97,B000XLZGNM,0.1069124413843403,0.0491349476044563,0.1069124413843403
98,B000XPO0IU,0.0375180371498951,0.0153010857268149,0.0375180371498951
99,B000Y30NAA,0.0755395676184592,0.0331569661505955,0.0755395676184592
100,B000YID5OG,0.113602390557801,0.0557717244658006,0.113602390557801
101,B000Z38F4A,0.1105263147452908,0.0441845349681087,0.1105263147452908
102,B000ZMYRJS,0.0984478926258337,0.0453602130080269,0.0984478926258337
103,B0010CZ8GS,0.0928632837232555,0.0390728472926626,0.0928632837232555
